,apple,banana,bell_pepper,carrot,cucumber,garlic,grape,heic,kiwi,lemon,mango,onion,orange,potato,strawberry,tomato
apple,6,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0
banana,0,8,1,0,0,0,0,0,0,0,0,0,0,3,0,1
bell_pepper,0,1,26,0,0,0,0,0,0,0,0,0,1,1,0,0
carrot,0,1,1,9,0,0,0,0,0,0,0,0,1,2,1,1
cucumber,0,1,3,0,23,0,0,1,0,0,0,0,0,0,1,0
garlic,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0
grape,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
heic,2,1,3,0,0,2,0,11,0,0,0,5,0,3,1,4
kiwi,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1
lemon,0,0,0,0,0,0,0,1,0,5,0,0,0,1,2,2
mango,0,0,0,0,0,0,0,0,0,0,21,0,0,4,0,1
onion,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1
orange,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0
potato,0,0,8,1,0,0,0,2,0,0,0,0,0,18,0,1
strawberry,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0
tomato,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,32
